6214
1080	%	98
2013	007SH	5
1777	1%	8
249	100%	12
975	1seg	9
1396	1つ	5
1668	1日	12
1754	2T	20
2085	2つ	5
1042	2日	11
361	30円	12
1157	3Com	57
1563	3D	5
1717	3G	19
1635	3日	12
962	4K	23
1511	4S	17
1530	4日	5
525	50%	12
874	50円	6
551	5S	28
714	60円	5
385	7Eleven	48
1575	???	13
715	A3	13
214	AMP	7
807	ANDROID	25
209	AQUOS	249
379	AQUOS PHONE	35
884	ARROWS	21
215	AU	81
1334	AX	8
1420	Ai	12
30	Amazon	6
6	Android	116
202	Apple	11
1200	B4	6
1094	Blu-Ray	5
216	Bluetooth	9
1403	CD	6
621	CM	20
1477	CPU	15
416	DoCoMo	51
1866	E3	5
417	F	81
1740	Folder	5
312	G	83
1074	GALAXY	24
704	GB	40
1582	GPS	8
245	GT	38
1413	GUESS	7
229	Galaxy	10
1636	Gmail	6
643	Google	21
1757	HD	5
1705	HDMI	5
555	HTC	5
374	Hon Hai	100
203	ID	9
535	IGZO	27
324	IME	8
2025	INFOBAR	5
613	ISW	5
694	Ingress	9
1682	JPEG	5
1452	Kinko's	10
1485	L25	12
313	LINE	31
246	LT	26
1718	LTE	15
865	M	5
1428	MINI	5
680	MNP	10
1753	MVNO	9
848	NHK	17
499	Nexus	60
418	ON	10
1332	P	10
1158	PACT	55
585	PANA	38
1057	PC	27
487	PDF	103
765	PDFファイル	17
661	PLAY!	19
881	PS4	14
440	Panasonic	51
1421	R2	6
1540	RA	5
105	RAM	8
586	RP	7
841	RT	23
1673	R・2	9
1194	SD	11
1014	SDカード	17
116	SH	421
480	SHARP	130
664	SIM	27
1787	SIMカード	6
785	SIMフリー	21
1486	SO	29
1837	SOL	7
196	SPEC	53
1544	Sleep	11
1369	SoftBank	8
1447	Sony Timer	7
1987	Swipe	9
1000	TSUM TSUM	7
1150	TV	13
7	Tablet	10
1140	Touch	10
0	Twitter	59
1248	Twitterアカウント	5
1927	UI	7
710	USB	57
1525	USBメモリ	14
1533	UZA	5
1281	Vita	7
370	WALKMAN	36
1805	WORD	9
102	WWW	45
693	Wi-Fi	48
1058	WiFi	19
1867	X	12
188	X1	6
8	XPERIA	449
1629	Xi	5
217	YouTube	19
1929	ZETA	12
2109	Zenfone	5
291	are	22
1195	auショップ	8
1843	browser	13
1595	cospa	5
1568	g	25
1365	iOS	12
267	iOS8	7
1342	iPad	41
156	iPhone	233
1198	iPhone4	7
274	iPhone5	37
1395	iPhone5S	5
97	iPhone6	846
935	iPhone6Plus	37
349	iPod	11
1963	iQON	7
268	iTunes	6
1878	kore	10
1529	microSD	10
519	mm	12
325	root	5
1615	smartphone	22
460	tweet	24
1002	w	29
1301	widget	6
176	ω	133
1285	…。	75
1913	あいぽん	11
424	あがる	10
1480	あく	12
1078	あげる	11
1871	あたし	5
1516	あたり	13
75	あと	96
259	ありがたい	20
230	ある	503
1677	あれ	37
441	あんま	7
886	い	15
76	いい	432
983	いいね	15
1597	いいね!	8
59	いう	150
326	いく	90
2073	いくら	5
488	いける	59
1508	いし	8
406	いじる	19
1872	いただく	5
1881	いつ	15
1191	いま	19
117	いる	481
576	いれる	11
1043	うい	16
1260	うえ	7
481	うち	75
1732	うつ	7
587	うまい	18
1121	うる	15
1	うるさい	45
77	うれしい	11
1494	うんこ	9
601	ええ	15
434	えらい	7
1122	える	12
1639	おかげ	17
794	おかしい	58
808	おく	29
9	おすすめ	10
561	おっきい	6
1593	おもう	12
118	おる	20
890	おれ	6
747	お前	6
1608	お知らせ	6
362	お金	14
1709	お願い	13
1552	かう	9
915	かえる	11
363	かかる	75
1399	かく	5
386	かける	55
878	かす	14
1087	かっこいい	17
1811	かっこよい	5
1307	かつ	6
1517	かな	6
786	かなう	11
461	かなり	13
735	かねる	5
1201	かむ	6
1538	かる	11
1361	かわいい	24
1731	かん	6
2015	がたい	6
380	がる	12
768	きた	7
1282	きつい	7
98	きれい	30
1848	きれいな	5
1950	きれる	11
22	く	75
1484	くい	17
1750	くう	7
851	くせ	8
395	くださる	23
255	くる	441
1990	くるしい	5
542	くれる	178
850	くん	36
1449	げ	13
2088	こ	5
1343	こいつ	13
771	ここ	46
712	こだわる	5
787	こちら	14
1277	こっち	32
119	こと	363
78	これ	300
873	こわい	5
1338	ごい	6
736	ごと	5
120	さ	247
1440	させる	7
407	さっき	33
725	さわる	8
425	さん	186
1791	しっか	5
17	しまう	146
595	しょぼい	13
18	しれる	43
1083	じゃなくて	26
2066	す	6
2044	すい	7
2092	すき	5
99	すぎ	95
236	すぎる	337
71	すげる	44
79	すごい	165
1436	すっごい	9
969	すばらしい	7
336	すべて	7
381	すむ	9
10	する	2808
1959	ずる	5
1671	ずれる	8
1210	せい	57
843	せる	114
1634	そ	17
136	そう	175
876	そこ	34
905	そっち	5
340	そのもの	6
1789	その他	7
157	その間	5
401	それ	113
1355	たくさん	10
1149	たけ	5
1852	たす	6
1696	ただ	13
752	たち	12
1481	たつ	22
530	たび	6
1324	たま	9
1970	たまる	10
387	ため	62
1359	たん	27
473	だけど…	14
614	だし	16
730	だす	29
651	だめ	21
1548	だらけ	10
577	だるい	6
158	ちゃう	97
515	ちゃん	95
1606	ちょ	12
1735	ちる	6
1526	ぢ	6
1937	っぱなし	8
31	っぷり	12
556	っぽい	59
1015	ついてる	24
435	ついで	16
1450	つかう	15
159	つく	51
1894	つくる	6
1102	つけどころ	6
543	つける	45
2024	つなぐ	8
2056	つぶれる	5
1167	つもり	21
996	つらい	16
606	つる	7
520	づらい	68
23	てる	1442
210	でかい	87
72	できる	511
1035	ですよ。	12
788	でる	49
309	とうらぶ	7
986	とき	82
772	とく	30
1112	とこ	37
861	ところ	86
327	とる	34
918	どうし	6
1774	どく	7
314	どこ	25
1426	どちら	9
467	どっか	6
1941	どっち	21
2060	どれ	12
552	どんだけ~	7
149	ない	463
589	なか	7
1103	なくなる	36
2099	なす	5
1022	なに	32
1541	なめる	8
11	なる	1172
607	なるい	8
1245	なれる	16
1065	なん	89
895	なんだろう	21
279	なんや	12
476	にくい	121
875	にも	14
90	の	1185
1658	はがき	14
1333	はじめる	5
578	はず	46
1151	はやい	16
1973	ひっかかる	5
716	ひどい	27
562	ひる	9
1034	びっくり	28
1715	びびる	5
2103	ふざける	5
2042	ふる	5
2039	ぶつかる	6
1988	ぶり	6
1933	ぶる	6
1293	ほう	49
1238	ほか	5
608	ほしい	60
1502	ほる	5
1616	ほん	6
1067	ほんと	12
687	ほんま	12
1463	ぽい	9
1644	ぽんこつ	16
987	まえる	9
315	まくる	50
1306	まし	11
1588	まじ	18
1997	まずい	5
1724	まとめ	5
1854	まとめる	9
665	まとも	24
382	まま	45
1965	まんま	6
743	みたい	135
150	みる	218
891	みんな	23
622	め	22
644	めちゃくちゃ	31
91	めんどい	10
761	めんどくさい	21
289	もち	25
579	もつ	39
1534	もと	5
280	もの	121
1775	ものすごい	5
426	もらう	49
580	もん	62
1415	やけど	6
24	やすい	102
1903	やってくる	8
32	やつ	83
1991	やな	5
538	やばい	39
106	やめる	45
449	やり方	13
292	やる	239
2016	やれる	6
892	ゆ	7
1773	ゆう	6
427	ゆく	6
442	よい	120
60	よう	224
588	よる	14
1706	よろしい	5
356	ら	27
932	らい	7
61	られる	124
1262	れこ	5
62	れる	485
462	ろ	5
1896	わ!	6
1093	わからん	25
80	わかる	66
328	わく	7
428	わけ	37
1174	わたし	15
33	ん	985
316	アウト	6
1932	アカウント	11
1743	アップ	12
632	アップデート	64
1382	アップル	7
1156	アップロード	14
204	アプリ	153
769	アホ	16
618	アメリカ	5
581	アルバム	15
160	イイ	15
1531	イベント	19
1650	イマイチ	12
1152	イメージ	11
2086	イヤ	7
177	イヤホン	44
1054	イラスト	12
408	イン	16
717	インク	28
1669	インストール	9
12	インチ	62
1474	ウチ	9
436	エラー	25
573	オススメ	7
1573	オレンジ	6
672	オーエス	20
1813	オーバー	5
966	カイロ	9
1793	カク	6
1912	カス	6
531	カッコ	11
711	カバー	28
409	カメ	13
410	カメラ	236
718	カラー	38
1335	カー	17
866	カード	11
1810	カーペット	5
592	ガラケー	44
1528	ガラス	18
1695	キャップ	6
500	キャリア	20
1842	キャンセル	5
948	キレ	10
943	キレイ	27
852	キン	6
1387	キンコ	5
796	キー	28
789	キーボード	25
1453	クオリティ	6
463	クズ	16
1936	クビ	11
450	クラス	5
81	クリア	14
1251	クリスタル	15
973	グリーン	7
1095	ケース	20
615	ケータイ	28
186	ケーブル	14
695	ゲーム	33
1153	コスト	9
48	コピー	510
341	コピー本	21
1752	コマ	6
1864	コンテンツ	13
1794	コンデジ	6
161	コンパクト	29
49	コンビニ	449
1713	コンボ	6
1489	コード	15
1113	ゴミ	63
1782	ゴミ箱	5
570	サイズ	95
564	サイト	7
1627	サイド	6
1699	サブ	11
645	サポート	14
1351	サンクス	6
853	サンプル	6
567	サービス	35
464	システム	11
411	シャッター	15
1081	シャットダウン	10
154	シャープ	771
1283	ショック	9
237	ショップ	11
854	シリーズ	26
974	シルバー	5
1314	シンプル	5
818	シート	12
1931	シール	5
1404	ジャケット	5
1088	ジャック	8
1618	スイッチ	7
1356	スキャナ	7
364	スキャナー	6
133	スキャン	24
682	スクショ	26
1370	スクフェス	37
1795	スクリーンショット	5
1367	スクロール	5
901	スケジュール	5
281	ステレオ	5
1429	ストラップ	5
142	ストレス	14
1206	ストレージ	7
1628	スピーカー	16
998	スピード	9
211	スマフォ	13
121	スマホ	365
1075	スマート	11
1211	スライド	15
1405	セット	7
329	セブン	343
261	セブンイレブン	94
1270	セルフ	5
1271	センサー	15
1082	ゼロ	6
282	ソニー	43
623	ソニー株式会社	44
797	ソフト	21
673	ソフトウェア	9
532	ソフトバンク	14
1175	ソフバン	5
1630	タイプ	10
1321	タイマー	7
1656	タイミング	16
218	タッチ	87
199	タッチパネル	91
636	タップ	22
1371	タブ	15
13	タブレット	47
2049	ダウン	5
205	ダウンロード	16
134	ダサい	25
544	ダメ	92
1272	チェック	8
2093	チケット	6
219	テザリング	18
1097	テスト	7
1118	テレビ	36
2097	テンション	5
1159	テーブル	5
451	ディスプレイ	47
705	デカ	87
337	デザイン	112
1647	デジカメ	8
1400	デジタル	8
1712	デビュー	7
1981	デフォ	8
1702	デフォルト	7
1258	デモ	7
1391	デレステ	36
419	データ	88
1579	データ移行	7
1325	トップ	17
1961	トーン	9
143	ドコモ	50
646	ドコモショップ	19
802	ドライヤー	7
250	ナイト	9
1284	ナイン	5
357	ニュース	13
867	ネット	26
470	ネットプリント	132
2106	ネットワークプリント	6
960	ノイズ	11
1239	ノート	6
1607	ハイテク	6
283	ハイレゾ	31
1176	ハガキ	13
1751	ハンパない	6
1637	ハート	10
1368	ハード	8
1666	バイブ	11
1303	バカ	18
2003	バキバキ	5
548	バグ	32
269	バックアップ	26
511	バッテリ	13
63	バッテリー	257
1142	バランス	7
1946	バー	5
696	バージョン	12
674	バージョンアップ	8
206	パスワード	8
2050	パズドラ	8
1847	パズル	6
726	パソコン	22
107	パナソニック	100
1993	パネル	8
819	パーツ	6
1868	ヒビ	9
1134	ビックリ	18
1119	ビデオ	9
1619	ビビる	7
1828	ピント	6
737	ファイル	23
800	ファミマ!!	52
477	フィット	7
478	フィルム	10
652	フォン	34
1821	フォント	10
228	フリック	10
1344	フリック入力	9
383	フリーズ	40
1506	フル	10
1574	フルセグ	11
1763	フレーム	6
1686	ブラシ	8
310	ブロマイド	36
893	プラス	18
862	プラン	8
1363	プリンタ	22
574	プリンター	67
342	プリント	293
880	プリントアウト	36
2070	プレビュー	5
251	プログラム	5
82	ヘッドフォン	7
284	ヘッドホン	9
1890	ベゼル	5
1907	ベンチマーク	5
1416	ベース	5
1586	ペット	7
343	ページ	18
1454	ペーパー	14
1569	ホコリ	6
2063	ホワイト	5
887	ホン	6
533	ホント	23
784	ホーム	53
396	ボタン	87
2032	ポイント	11
1723	ポケット	21
988	ポスター	15
1556	マイナス	8
2010	マウス	5
731	マグネット	8
1744	マジ	14
19	マジで	27
144	マックス	7
262	マルチ	62
1046	マン	11
1598	マーク	5
1845	ミス	8
1465	メイン	18
108	メディア	9
1904	メニュー	11
317	メモ	13
1066	メモリ	28
2058	メリット	5
109	メーカー	30
1204	メール	34
1906	モック	9
1060	モデル	49
1451	モノクロ	8
1694	モバイル	13
1917	モバイルSuica	6
1049	モード	22
1501	ヤバい	15
189	ユーザー	24
1116	ヨドバシ	5
452	ライブ	9
954	ライン	15
1549	ランプ	5
1857	リスク	9
2067	リスト	6
1827	リストラ	7
1520	リセット	8
1160	リビング	6
1498	リモコン	6
1674	リンク	5
2	ルンバ	394
1902	レイ	6
1315	レコーダー	10
1985	レジ	5
122	レスポンス	9
1179	レビュー	7
1242	レベル	37
25	レンズ	7
1330	レーザープリンタ	6
501	ロゴ	16
931	ロック	31
2107	ロリポップ!	6
762	ローソン	36
706	ワイ	9
707	ワロタ	8
1788	ワード	6
162	ヶ月	31
526	一	99
1275	一つ	15
1109	一切	9
1267	一年	10
330	一手	9
1309	一括	8
1909	一昨日	5
1052	一番	54
688	一瞬	9
1949	一緒	13
2054	一連	5
1733	一週間	6
402	一部	13
34	万	70
1441	三	20
